Disease_ID,Disease_Name,Disease_Category,Description,Protein,Carbohydrates,Fat,Fiber,Sugar,Sodium,Potassium,Calcium,Iron,Foods_To_Eat,Foods_To_Avoid,Preferred_Food_Categories,Avoid_Food_Categories,Meal_Frequency,Water_Intake_L,Exercise_Minutes,Lifestyle_Advice
14,PCOS,Women's Health,Hormonal disorder affecting ovaries,Increase,Decrease,Decrease,Increase,Decrease,Normal,Increase,Normal,Normal,Oats; Brown Rice; Spinach; Broccoli; Apple; Guava; Lentils; Chickpeas; Almonds; Yogurt,White Bread; Cake; Pastry; Sugary Drinks; Candy; French Fries; Pizza; Burger; Ice Cream; Doughnut,Grain/Cereal; Vegetable; Fruit; Pulse/Legume; Dairy; Nut/Seed,Bakery/Snack; Beverage,5,3,40,Maintain healthy weight and exercise regularly.
15,PCOD,Women's Health,Polycystic ovarian disease,Increase,Decrease,Decrease,Increase,Decrease,Normal,Increase,Normal,Normal,Oats; Quinoa; Brown Rice; Spinach; Broccoli; Apple; Lentils; Chickpeas; Paneer; Almonds,Soft Drinks; Cake; Pastry; White Bread; Candy; Pizza; Burger; Chips; Ice Cream; Doughnut,Grain/Cereal; Vegetable; Fruit; Pulse/Legume; Dairy; Nut/Seed,Bakery/Snack; Beverage,5,3,40,Choose low-GI foods and stay physically active.
16,Pregnancy,Women's Health,Increased nutritional needs during pregnancy,Increase,Increase,Normal,Increase,Normal,Normal,Normal,Increase,Increase,Milk; Yogurt; Paneer; Eggs; Spinach; Lentils; Chickpeas; Banana; Apple; Oats,Alcohol; Raw Fish; Unpasteurized Cheese; Excess Caffeine; Soft Drinks,Dairy; Fruit; Vegetable; Pulse/Legume; Meat/Fish/Egg,Alcohol; Beverage,5,3.5,20,Eat balanced meals and take prenatal supplements as advised.
17,Breastfeeding,Women's Health,Increased nutritional needs while breastfeeding,Increase,Increase,Normal,Increase,Normal,Normal,Normal,Increase,Increase,Milk; Yogurt; Paneer; Eggs; Oats; Banana; Apple; Lentils; Brown Rice; Almonds,Alcohol; Excess Caffeine; Sugary Drinks; Highly Processed Foods,Dairy; Fruit; Vegetable; Pulse/Legume; Grain/Cereal,Alcohol; Beverage,5,4,20,Stay hydrated and consume nutrient-rich foods.
18,Constipation,Digestive,Infrequent or difficult bowel movements,Normal,Normal,Normal,Increase,Decrease,Normal,Normal,Normal,Normal,Oats; Apple; Guava; Papaya; Pear; Spinach; Broccoli; Beans; Brown Rice; Water,Processed Foods; White Bread; Cake; Chips; Fast Food,Fruit; Vegetable; Grain/Cereal; Pulse/Legume,Bakery/Snack,5,3.5,30,Increase fiber intake and drink plenty of water.
19,Diarrhea,Digestive,Frequent loose stools,Normal,Increase,Decrease,Decrease,Normal,Normal,Normal,Normal,Normal,Banana; White Rice; Applesauce; Yogurt; Toast; Boiled Potato; Coconut Water; Curd; Oats; Soup,Spicy Foods; Fried Foods; Soft Drinks; Excess Dairy; Alcohol,Fruit; Grain/Cereal; Dairy,Bakery/Snack; Beverage,5,3.5,15,Stay hydrated and eat easily digestible foods.
20,GERD,Digestive,Acid reflux causing heartburn,Normal,Normal,Decrease,Increase,Decrease,Normal,Normal,Normal,Normal,Oatmeal; Banana; Brown Rice; Broccoli; Green Beans; Apple; Yogurt; Cucumber; Watermelon; Ginger,Coffee; Tea; Chocolate; Tomato Sauce; Citrus Juice; Fried Foods; Pizza; Burger; Soft Drinks; Mint,Grain/Cereal; Vegetable; Fruit; Dairy,Bakery/Snack; Beverage,5,3,30,Eat smaller meals and avoid lying down after eating.
21,IBS,Digestive,Irritable bowel syndrome,Normal,Normal,Decrease,Increase,Decrease,Normal,Normal,Normal,Normal,Oats; Brown Rice; Banana; Carrot; Spinach; Yogurt; Cucumber; Papaya; Bottle Gourd; Rice,Spicy Foods; Fried Foods; Cabbage; Cauliflower; Soft Drinks; Coffee; Chocolate; Pizza; Burger; Chips,Grain/Cereal; Vegetable; Fruit; Dairy,Bakery/Snack; Beverage,5,3,30,Eat small frequent meals and identify trigger foods.
22,Celiac Disease,Digestive,Autoimmune disorder triggered by gluten,Normal,Normal,Normal,Increase,Normal,Normal,Normal,Normal,Normal,Rice; Brown Rice; Corn; Bajra; Jowar; Quinoa; Potato; Fruits; Vegetables; Lentils,Wheat; Barley; Rye; Bread; Pasta; Biscuits; Cake; Cookies; Pizza; Noodles,Grain/Cereal; Vegetable; Fruit; Pulse/Legume,Bakery/Snack,5,3,30,Strictly follow a gluten-free diet.
23,Hypothyroidism,Endocrine,Underactive thyroid gland,Increase,Decrease,Decrease,Increase,Decrease,Normal,Normal,Normal,Normal,Eggs; Fish; Milk; Yogurt; Spinach; Apple; Berries; Oats; Lentils; Brazil Nuts,Sugary Foods; Fried Foods; Excess Soy; Highly Processed Foods,Dairy; Meat/Fish/Egg; Fruit; Vegetable; Grain/Cereal,Bakery/Snack; Beverage,5,3,30,Exercise regularly and consume iodine-rich foods in moderation.
24,Hyperthyroidism,Endocrine,Overactive thyroid gland,Normal,Increase,Normal,Increase,Normal,Normal,Normal,Increase,Normal,Broccoli; Cabbage; Cauliflower; Brown Rice; Oats; Milk; Yogurt; Beans; Apples; Pears,Coffee; Energy Drinks; Alcohol; Highly Processed Foods,Vegetable; Dairy; Grain/Cereal; Pulse/Legume,Beverage; Bakery/Snack,5,3.5,25,Avoid excess caffeine and maintain balanced nutrition.
25,Gout,Metabolic,High uric acid levels causing joint pain,Normal,Decrease,Decrease,Increase,Decrease,Normal,Normal,Normal,Normal,Low-Fat Milk; Yogurt; Cherries; Apples; Brown Rice; Oats; Cucumber; Tomato; Banana; Watermelon,Organ Meat; Red Meat; Sardines; Anchovies; Beer; Soft Drinks; Shellfish; Processed Meat; Alcohol,Fruit; Vegetable; Dairy; Grain/Cereal,Meat/Fish/Egg; Beverage,5,3.5,30,Drink plenty of water and limit purine-rich foods.
26,Arthritis,Inflammatory,Inflammation of joints,Increase,Normal,Decrease,Increase,Decrease,Normal,Normal,Increase,Normal,Salmon; Tuna; Walnuts; Almonds; Spinach; Broccoli; Olive Oil; Berries; Oats; Turmeric,Soft Drinks; Fried Foods; Processed Meat; Excess Sugar; Pastries; Chips,Meat/Fish/Egg; Vegetable; Fruit; Nut/Seed,Bakery/Snack; Beverage,5,3,30,Include anti-inflammatory foods and stay physically active.
27,Osteoporosis,Bone,Weak and brittle bones,Increase,Normal,Normal,Normal,Normal,Normal,Normal,Increase,Normal,Milk; Yogurt; Paneer; Cheese; Almonds; Sesame Seeds; Broccoli; Spinach; Sardines; Tofu,Soft Drinks; Excess Salt; Alcohol; Highly Processed Foods,Dairy; Vegetable; Nut/Seed; Meat/Fish/Egg,Bakery/Snack; Beverage,4,3,30,"Ensure adequate calcium, vitamin D and regular exercise."
28,Migraine,Neurological,Recurring severe headaches,Normal,Normal,Decrease,Increase,Decrease,Normal,Normal,Normal,Normal,Banana; Spinach; Oats; Brown Rice; Yogurt; Almonds; Watermelon; Cucumber; Ginger; Herbal Tea,Chocolate; Coffee; Alcohol; Processed Meat; Aged Cheese; Soft Drinks; MSG-rich Foods,Fruit; Vegetable; Grain/Cereal; Dairy,Beverage; Bakery/Snack,5,3,30,Stay hydrated and avoid known food triggers.
29,Weight Gain,Goal,Healthy weight gain goal,Increase,Increase,Increase,Normal,Normal,Normal,Normal,Normal,Normal,Milk; Paneer; Cheese; Eggs; Brown Rice; Oats; Banana; Peanut Butter; Almonds; Sweet Potato,Soft Drinks; Candy; Deep Fried Foods; Excess Fast Food,Dairy; Grain/Cereal; Fruit; Nut/Seed; Meat/Fish/Egg,Bakery/Snack; Beverage,5,3.5,30,Increase calories using nutritious foods and strength training.
30,Weight Loss,Goal,Healthy weight loss goal,Increase,Decrease,Decrease,Increase,Decrease,Normal,Normal,Normal,Normal,Oats; Brown Rice; Apple; Guava; Spinach; Broccoli; Lentils; Chickpeas; Yogurt; Green Tea,Cake; Pastry; Pizza; Burger; French Fries; Soft Drinks; Ice Cream; Chocolate; White Bread; Doughnut,Grain/Cereal; Vegetable; Fruit; Pulse/Legume; Dairy,Bakery/Snack; Beverage,5,3.5,45,Maintain a calorie deficit with regular physical activity.
